id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Warehouse Pulse,Kilohertz,edm,euphoric,0.95,128,0.72,0.94,0.02
12,Concrete Verses,MC Grid,hip hop,aggressive,0.79,95,0.44,0.85,0.08
13,Autumn Letters,Elin Vaara,folk,nostalgic,0.31,86,0.55,0.40,0.93
14,Moonlit Adagio,String Theory Quartet,classical,relaxed,0.24,66,0.62,0.22,0.95
15,Velvet Confessions,Sable Rose,r&b,romantic,0.52,98,0.68,0.71,0.34
16,Dust and Diesel,Cody Rains,country,happy,0.64,112,0.74,0.63,0.58
17,Iron Verdict,Blacklung,metal,angry,0.98,168,0.30,0.55,0.04
18,Island Time,Palm Static,reggae,relaxed,0.49,92,0.83,0.76,0.41
